sourceName,double,speed,length,Asym
1,0.296,2.840909091,28.34645669,0
1,0.289,3.019863994,29.52755906,0
1,0.289,3.019863994,28.74015748,0
1,0.292,2.930386543,29.13385827,0
1,0.284,2.952755906,27.16535433,0
1,0.272,3.176449535,29.52755906,0
1,0.292,2.90801718,28.34645669,0
1,0.285,3.288296349,30.70866142,0.01
1,0.267,3.735683608,33.85826772,0
1,0.356,2.102720115,25.98425197,0
1,0.303,2.438260558,24.80314961,0
1,0.259,3.735683608,33.46456693,0
1,0.274,3.44488189,32.28346457,0
1,0.278,3.355404438,31.49606299,0
1,0.267,3.623836793,33.07086614,0
1,0.275,3.422512527,31.88976378,0
1,0.267,3.668575519,33.46456693,0
1,0.28,3.355404438,32.28346457,0.04
1,0.277,3.355404438,31.49606299,0
1,0.31,2.14745884,24.40944882,0
1,0.279,3.333035075,31.49606299,0
1,0.283,3.198818898,30.31496063,0
1,0.282,3.265926986,30.70866142,0.01
1,0.323,2.259305655,22.44094488,0
1,0.273,3.467251253,31.49606299,0
1,0.269,3.556728704,32.28346457,0
1,0.276,3.400143164,31.88976378,0
1,0.276,3.44488189,32.28346457,0
1,0.282,3.243557623,29.92125984,0
1,0.274,3.511989979,31.88976378,0
1,0.275,3.44488189,31.49606299,0
1,0.282,3.243557623,30.31496063,0
1,0.284,3.154080172,29.92125984,0
1,0.287,3.154080172,29.52755906,0
1,0.283,3.265926986,30.31496063,0
1,0.274,3.467251253,31.1023622,0
1,0.276,3.422512527,31.1023622,0
1,0.272,3.556728704,31.88976378,0
1,0.275,3.400143164,31.1023622,0
1,0.279,3.221188261,30.70866142,0
1,0.277,3.400143164,31.1023622,0
1,0.278,3.355404438,31.49606299,0
1,0.309,2.460629921,26.37795276,0
1,0.29,3.176449535,29.92125984,0
1,0.285,3.243557623,29.92125984,0
1,0.271,3.623836793,33.07086614,0
1,0.275,3.44488189,32.28346457,0
1,0.275,3.44488189,31.88976378,0
1,0.297,2.975125268,28.34645669,0
1,0.273,3.511989979,31.88976378,0
1,0.272,3.511989979,31.88976378,0
1,0.298,2.68432355,25.59055118,0
1,0.301,2.661954188,26.77165354,0
1,0.298,2.706692913,27.16535433,0
1,0.262,3.713314245,33.07086614,0
1,0.255,3.914638511,34.2519685,0.01
1,0.248,4.048854689,35.03937008,0
1,0.246,3.959377237,34.2519685,0
1,0.255,3.690944882,32.67716535,0
1,0.302,2.617215462,25.19685039,0
1,0.3,2.661954188,27.16535433,0
1,0.277,3.355404438,30.70866142,0
1,0.292,2.773801002,29.92125984,0
1,0.268,3.489620616,32.28346457,0
1,0.251,3.847530422,33.85826772,0
1,0.236,4.13833214,37.4015748,0
1,0.294,2.863278454,27.55905512,0
1,0.305,2.706692913,25.59055118,0
1,0.267,3.556728704,31.88976378,0
1,0.279,3.288296349,30.31496063,0
1,0.275,3.355404438,31.49606299,0
1,0.245,3.914638511,33.85826772,0
1,0.31,2.438260558,22.83464567,0
1,0.256,3.668575519,33.07086614,0
1,0.293,3.042233357,30.31496063,0
1,0.301,2.52773801,26.37795276,0
1,0.293,2.818539728,24.40944882,0
1,0.272,3.377773801,30.31496063,0
1,0.258,3.668575519,31.88976378,0.03
1,0.257,3.735683608,33.07086614,0
1,0.285,3.176449535,27.95275591,0
1,0.257,3.825161059,34.2519685,0
1,0.253,3.937007874,35.03937008,0
1,0.297,2.796170365,26.37795276,0
1,0.305,3.131710809,29.52755906,0
1,0.299,2.818539728,26.37795276,0
1,0.306,2.796170365,26.37795276,0
1,0.309,2.550107373,24.40944882,0
1,0.309,2.639584825,24.01574803,0
1,0.287,3.198818898,30.31496063,0
1,0.273,3.422512527,31.88976378,0
1,0.275,3.467251253,31.49606299,0
1,0.268,3.60146743,32.28346457,0
1,0.276,3.422512527,32.28346457,0
1,0.294,2.550107373,26.77165354,0
1,0.265,3.713314245,33.07086614,0
1,0.258,3.914638511,34.2519685,0
1,0.292,3.086972083,29.13385827,0.01
1,0.288,3.131710809,29.52755906,0.02
1,0.264,3.646206156,33.07086614,0
1,0.278,3.243557623,29.13385827,0
1,0.293,2.840909091,26.37795276,0
1,0.297,2.840909091,25.19685039,0
1,0.308,2.460629921,24.80314961,0
1,0.268,3.511989979,31.1023622,0.1
1,0.274,3.489620616,31.88976378,0
1,0.24,4.004115963,35.03937008,0
1,0.257,3.780422334,33.46456693,0
1,0.245,4.093593414,35.03937008,0
1,0.254,3.869899785,33.85826772,0
1,0.271,3.534359341,32.28346457,0
1,0.276,3.422512527,31.88976378,0.05
1,0.264,3.646206156,32.28346457,0.29
1,0.256,3.825161059,33.85826772,0
1,0.293,2.840909091,26.77165354,0.05
1,0.298,2.52773801,25.59055118,0.13
1,0.269,3.355404438,29.92125984,0
1,0.308,2.482999284,23.22834646,0.01
1,0.28,3.288296349,29.13385827,0
1,0.245,4.071224052,35.03937008,0
1,0.256,3.825161059,33.07086614,0
1,0.284,3.154080172,28.74015748,0
1,0.299,2.751431639,27.16535433,0
1,0.317,2.304044381,23.62204724,0
1,0.31,2.572476736,26.37795276,0
1,0.266,3.60146743,31.88976378,0
1,0.296,2.885647817,28.34645669,0
1,0.252,3.959377237,34.64566929,0
1,0.258,3.780422334,33.46456693,0
1,0.255,3.869899785,34.2519685,0
1,0.252,3.937007874,34.2519685,0
1,0.26,3.735683608,33.07086614,0
1,0.273,3.400143164,32.28346457,0
1,0.302,2.706692913,24.01574803,0
1,0.28,3.221188261,30.31496063,0
1,0.279,3.265926986,29.92125984,0
1,0.278,3.355404438,30.70866142,0
1,0.268,3.556728704,32.28346457,0
1,0.266,3.623836793,32.28346457,0
1,0.302,2.773801002,25.98425197,0
1,0.252,3.869899785,33.85826772,0
1,0.309,2.505368647,25.98425197,0
1,0.316,2.393521832,25.59055118,0
1,0.299,2.773801002,25.19685039,0
1,0.301,2.773801002,24.80314961,0
1,0.267,3.623836793,32.67716535,0
1,0.276,3.265926986,28.74015748,0
1,0.262,3.646206156,32.67716535,0
1,0.277,3.400143164,31.88976378,0
1,0.281,3.288296349,30.70866142,0
1,0.31,2.304044381,21.25984252,0.01
1,0.283,2.818539728,28.74015748,0
1,0.307,2.482999284,25.98425197,0
1,0.261,3.422512527,31.1023622,0.01
1,0.257,3.825161059,34.64566929,0
1,0.27,3.556728704,30.31496063,0
1,0.291,2.796170365,30.70866142,0
1,0.278,3.310665712,30.70866142,0
1,0.299,2.550107373,25.19685039,0
1,0.291,2.975125268,29.13385827,0
1,0.301,2.594846099,23.62204724,0
1,0.275,3.400143164,31.49606299,0.06
1,0.298,2.818539728,27.95275591,0
1,0.294,3.019863994,29.52755906,0
1,0.267,3.60146743,32.28346457,0
1,0.262,3.758052971,33.07086614,0
1,0.296,2.68432355,26.37795276,0
1,0.308,2.729062276,25.19685039,0
1,0.27,3.511989979,31.49606299,0
1,0.268,3.579098067,32.28346457,0
1,0.281,3.198818898,29.92125984,0
1,0.295,2.796170365,25.59055118,0
1,0.321,2.326413744,22.04724409,0
1,0.298,2.52773801,24.40944882,0
1,0.257,3.758052971,33.46456693,0
1,0.247,3.9817466,35.03937008,0.02
1,0.286,3.06460272,27.55905512,0
1,0.283,3.06460272,28.34645669,0
1,0.301,2.706692913,25.59055118,0
1,0.309,2.482999284,23.22834646,0
1,0.3,2.773801002,26.77165354,0
1,0.306,2.706692913,26.77165354,0
1,0.306,2.639584825,25.98425197,0
1,0.305,2.952755906,28.34645669,0.08
1,0.297,2.840909091,27.16535433,0
1,0.248,3.892269148,34.2519685,0
1,0.259,3.802791696,33.46456693,0
1,0.301,2.706692913,27.55905512,0
1,0.302,2.818539728,28.34645669,0
1,0.276,3.489620616,31.88976378,0
1,0.311,2.281675018,24.80314961,0
1,0.292,3.019863994,28.34645669,0
1,0.296,2.639584825,27.55905512,0
1,0.294,3.042233357,28.34645669,0
1,0.274,3.355404438,30.70866142,0
1,0.285,3.243557623,31.1023622,0
1,0.293,2.885647817,29.13385827,0
1,0.274,3.467251253,31.88976378,0
1,0.264,3.713314245,33.07086614,0
1,0.302,2.729062276,24.80314961,0
1,0.299,2.796170365,25.98425197,0
1,0.312,2.52773801,24.80314961,0
1,0.296,2.438260558,22.44094488,0
1,0.304,2.52773801,22.44094488,0
1,0.265,3.467251253,31.1023622,0
1,0.258,3.623836793,32.28346457,0
1,0.266,2.975125268,27.55905512,0
1,0.281,2.236936292,22.83464567,0
1,0.289,3.154080172,27.16535433,0
1,0.266,2.997494631,27.16535433,0
1,0.263,3.646206156,32.67716535,0
1,0.275,3.713314245,33.07086614,0.07
1,0.298,3.265926986,29.92125984,0
1,0.314,2.68432355,24.01574803,0
1,0.313,2.281675018,22.44094488,0.12
1,0.3,2.236936292,23.62204724,0
1,0.316,2.729062276,26.37795276,0
1,0.28,2.482999284,23.62204724,0.01
1,0.284,3.377773801,31.49606299,0
1,0.308,3.265926986,31.1023622,0
1,0.278,2.818539728,26.77165354,0
1,0.297,3.310665712,29.52755906,0
1,0.299,2.639584825,26.77165354,0
1,0.291,2.796170365,27.95275591,0
1,0.243,2.818539728,24.80314961,0
1,0.271,4.026485326,34.64566929,0
1,0.289,3.511989979,31.88976378,0
1,0.248,3.042233357,29.52755906,0
1,0.3,3.959377237,33.85826772,0
1,0.253,2.68432355,27.55905512,0
1,0.305,3.869899785,32.28346457,0
1,0.312,2.661954188,27.95275591,0
1,0.309,2.460629921,27.55905512,0
1,0.31,2.438260558,25.59055118,0.09
1,0.321,2.348783107,25.19685039,0
1,0.292,1.901395848,22.83464567,0
1,0.299,2.90801718,28.74015748,0
1,0.289,2.617215462,25.98425197,0
1,0.31,2.930386543,28.34645669,0
